"EmmissionsCW",,"EmmissionsCWLnChng",,
884.9533,1434.807,884.9533,1434.807,
885.6937,1435.851,885.6937,1435.851,
886.4419,1436.889,886.4419,1436.889,
887.1982,1437.921,887.1982,1437.921,
887.9621,1438.946,887.9621,1438.946,
888.7368,1439.968,888.7368,1439.968,
889.5167,1440.981,889.5167,1440.981,
890.3096,1441.993,890.3096,1441.993,
891.105,1442.993,891.105,1442.993,
891.9083,1443.987,891.9083,1443.987,
892.7221,1444.977,892.7221,1444.977,
893.5407,1445.958,893.5407,1445.958,
894.3699,1446.935,894.3699,1446.935,
895.2038,1447.904,895.2038,1447.904,
896.0481,1448.869,896.0481,1448.869,
896.8946,1449.822,896.8946,1449.822,
897.754,1450.775,897.754,1450.775,
898.6156,1451.716,898.6156,1451.716,
899.4899,1452.657,899.4899,1452.657,
900.3634,1453.582,900.3634,1453.582,
901.2506,1454.507,901.2506,1454.507,
902.1447,1455.426,902.1447,1455.426,
903.047,1456.339,903.047,1456.339,
903.9506,1457.239,903.9506,1457.239,
904.8682,1458.139,904.8682,1458.139,
905.7867,1459.027,905.7867,1459.027,
906.7135,1459.909,906.7135,1459.909,
907.645,1460.783,907.645,1460.783,
908.5833,1461.649,908.5833,1461.649,
909.5356,1462.515,909.5356,1462.515,
910.4832,1463.364,910.4832,1463.364,
911.4446,1464.213,911.4446,1464.213,
912.4125,1465.054,912.4125,1465.054,
913.3848,1465.887,913.3848,1465.887,
914.3616,1466.712,914.3616,1466.712,
915.343,1467.528,915.343,1467.528,
916.3341,1468.341,916.3341,1468.341,
917.331,1469.147,917.331,1469.147,
918.3269,1469.94,918.3269,1469.94,
919.337,1470.733,919.337,1470.733,
920.3475,1471.514,920.3475,1471.514,
921.3681,1472.291,921.3681,1472.291,
922.3893,1473.056,922.3893,1473.056,
923.4196,1473.815,923.4196,1473.815,
924.4559,1474.567,924.4559,1474.567,
925.5018,1475.313,925.5018,1475.313,
926.5484,1476.047,926.5484,1476.047,
927.6003,1476.772,927.6003,1476.772,
928.6573,1477.488,928.6573,1477.488,
929.7249,1478.199,929.7249,1478.199,
930.7932,1478.897,930.7932,1478.897,
931.8719,1479.59,931.8719,1479.59,
932.9515,1480.27,932.9515,1480.27,
934.0467,1480.947,934.0467,1480.947,
935.1424,1481.612,935.1424,1481.612,
936.239,1482.265,936.239,1482.265,
937.3412,1482.908,937.3412,1482.908,
938.4587,1483.549,938.4587,1483.549,
939.5719,1484.174,939.5719,1484.174,
